Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
2428,P,Por,Sommer,Inter,16,16,0,16,16,0,90,90
5876,P,Por,Di Gregorio,Juventus,16,16,0,16,16,0,84,84
572,P,Por,Meret,Napoli,16,16,0,16,16,0,93,93
4312,P,Por,Maignan,Milan,15,16,-1,15,16,-1,77,77
5841,P,Por,Svilar,Roma,15,15,0,15,15,0,83,83
4431,P,Por,Carnesecchi,Atalanta,14,14,0,14,14,0,71,71
2521,P,Por,De Gea,Fiorentina,14,14,0,14,14,0,58,58
2814,P,Por,Provedel,Lazio,12,12,0,12,12,0,50,50
6966,P,Por,Butez,Como,11,10,1,11,10,1,35,35
133,P,Por,Skorupski,Bologna,10,10,0,10,10,0,46,46
188,P,Por,Leali,Genoa,9,8,1,9,8,1,29,29
7179,P,Por,Israel,Torino,8,9,-1,8,9,-1,30,30
4360,P,Por,Caprile,Cagliari,7,7,0,7,7,0,18,18
2134,P,Por,Falcone,Lecce,7,6,1,7,6,1,17,17
6641,P,Por,Suzuki,Parma,7,7,0,7,7,0,14,14
4867,P,Por,Turati,Sassuolo,7,7,0,7,7,0,11,11
761,P,Por,Audero,Cremonese,6,5,1,6,5,1,14,14
6462,P,Por,Okoye,Udinese,6,6,0,6,6,0,16,16
4957,P,Por,Montipò,Verona,5,5,0,5,5,0,10,10
2170,P,Por,Milinkovic-Savic V.,Napoli,4,4,0,4,4,0,10,10
2861,P,Por,Semper,Pisa,4,3,1,4,3,1,11,11
6842,P,Por,Sava,Udinese,4,4,0,4,4,0,8,8
2722,P,Por,Ravaglia F.,Bologna,3,3,0,3,3,0,6,6
6482,P,Por,Mandas,Lazio,3,3,0,3,3,0,8,8
574,P,Por,Scuffet,Pisa,3,3,0,3,3,0,5,5
4236,P,Por,Muric,Sassuolo,3,3,0,3,3,0,4,4
5116,P,Por,Martinez Jo.,Inter,2,2,0,2,2,0,5,5
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,1,1
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1
7172,P,Por,Pessina Mas.,Bologna,1,1,0,1,1,0,1,1
4929,P,Por,Ciocci,Cagliari,1,1,0,1,1,0,1,1
3,P,Por,Radunovic,Cagliari,1,1,0,1,1,0,1,1
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1
6505,P,Por,Nava,Cremonese,1,1,0,1,1,0,1,1
6184,P,Por,Martinelli T.,Fiorentina,1,1,0,1,1,0,1,1
6991,P,Por,Siegrist,Genoa,1,1,0,1,1,0,1,1
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1
218,P,Por,Perin,Juventus,1,1,0,1,1,0,2,2
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
6417,P,Por,Furlanetto,Lazio,1,1,0,1,1,0,1,1
2401,P,Por,Fruchtl,Lecce,1,1,0,1,1,0,1,1
6523,P,Por,Samooja,Lecce,1,1,0,1,1,0,1,1
2815,P,Por,Terracciano,Milan,1,1,0,1,1,0,1,1
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1
2845,P,Por,Contini,Napoli,1,1,0,1,1,0,1,1
6662,P,Por,Corvi,Parma,1,1,0,1,1,0,1,1
5338,P,Por,Rinaldi,Parma,1,1,0,1,1,0,1,1
2271,P,Por,Nicolas,Pisa,1,1,0,1,1,0,1,1
7169,P,Por,Zelezny,Roma,1,1,0,1,1,0,1,1
610,P,Por,Gollini,Roma,1,1,0,1,1,0,1,1
2127,P,Por,Satalino,Sassuolo,1,1,0,1,1,0,1,1
5320,P,Por,Paleari,Torino,1,1,0,1,1,0,1,1
6210,P,Por,Popa,Torino,1,1,0,1,1,0,1,1
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1
511,P,Por,Perilli,Verona,1,1,0,1,1,0,1,1
6125,P,Por,Vasquez D.,Roma,1,1,0,1,1,0,1,1
7185,P,Por,Nunziante,Udinese,1,1,0,1,1,0,1,1
158,P,Por,Lezzerini,Fiorentina,1,1,0,1,1,0,1,1
2211,P,Por,Silvestri,Cremonese,1,1,0,1,1,0,1,1
7236,P,Por,Toniolo,Verona,1,1,0,1,1,0,1,1
7261,P,Por,Cavlina,Como,1,1,0,1,1,0,1,1
5513,D,E,Dumfries,Inter,20,20,0,19,19,0,100,94
254,D,E,Dimarco,Inter,19,19,0,18,18,0,96,90
2160,D,E,Gosens,Fiorentina,18,18,0,17,17,0,85,85
2120,D,Dc,Bastoni,Inter,17,16,1,17,16,1,78,78
4433,D,E,Zortea,Bologna,16,16,0,15,15,0,40,24
4772,D,E,Angelino,Roma,15,15,0,14,14,0,57,57
7181,D,E,Wesley,Roma,15,14,1,14,13,1,55,55
5520,D,E,Cambiaso,Juventus,14,15,-1,13,14,-1,59,59
2816,D,Dd;E,Di Lorenzo,Napoli,14,14,0,14,14,0,56,56
4887,D,E,Bellanova,Atalanta,13,13,0,12,12,0,52,52
554,D,E,Zappacosta,Atalanta,13,13,0,12,12,0,41,41
2788,D,Dc,Bremer,Juventus,13,13,0,13,13,0,50,50
2724,D,Dc,Buongiorno,Napoli,13,13,0,13,13,0,42,42
5273,D,Ds;E,Estupinan,Milan,12,11,1,12,11,1,43,43
5885,D,E,Dodò,Fiorentina,11,11,0,10,10,0,43,43
5620,D,Ds;E,Tavares N.,Lazio,11,12,-1,11,12,-1,46,46
4409,D,Dc,Rrahmani,Napoli,11,11,0,11,11,0,32,32
2296,D,Dc,Mancini,Roma,11,11,0,11,11,0,30,30
6956,D,Dc,Solet,Udinese,11,11,0,11,11,0,40,40
6046,D,Dc,Hien,Atalanta,10,11,-1,10,11,-1,34,34
2593,D,Ds;E,Martin,Genoa,10,10,0,10,10,0,32,32
5877,D,B;Ds;E,Carlos Augusto,Inter,10,10,0,11,11,0,31,35
5835,D,Dc,Baschirotto,Cremonese,10,8,2,10,8,2,18,18
6202,D,Dc,Beukema,Napoli,10,10,0,10,10,0,23,23
5840,D,Ds;E,Olivera,Napoli,10,10,0,10,10,0,21,21
5862,D,Ds;E,Valeri,Parma,10,10,0,10,10,0,27,27
4317,D,Dc,N'Dicka,Roma,10,10,0,10,10,0,26,26
5578,D,Dd;Dc,Kossounou,Atalanta,9,9,0,9,9,0,22,24
4734,D,Ds;E,Miranda J.,Bologna,9,9,0,9,9,0,24,24
393,D,Dc,Luperto,Cagliari,9,7,2,9,7,2,18,18
5514,D,Ds;Dc,Vasquez,Genoa,9,9,0,10,10,0,20,23
513,D,Dc,Acerbi,Inter,9,9,0,9,9,0,26,26
6217,D,Dc,Bisseck,Inter,9,9,0,9,9,0,21,21
322,D,Dc,De Vrij,Inter,9,9,0,9,9,0,20,20
4976,D,Dd;Dc,Kalulu,Juventus,9,9,0,10,10,0,24,26
5833,D,Dc,Gila,Lazio,9,9,0,9,9,0,20,20
787,D,Dc,Djimsiti,Atalanta,8,8,0,8,8,0,15,15
5526,D,Dc,Scalvini,Atalanta,8,8,0,8,8,0,24,24
6042,D,Dc,Lucumì,Bologna,8,8,0,8,8,0,21,21
7068,D,Dc,Vitik,Bologna,8,8,0,8,8,0,18,18
5678,D,Dd;E,Holm,Bologna,8,8,0,8,8,0,15,15
5739,D,Dd;Dc,De Winter,Milan,8,8,0,9,9,0,17,19
4177,D,Dd;Dc,Pavard,Inter,8,8,0,9,9,0,23,25
5831,D,Dc,Gatti,Juventus,8,8,0,8,8,0,13,13
7175,D,E,Joao Mario,Juventus,8,8,0,7,7,0,18,16
460,D,Dc,Romagnoli,Lazio,8,8,0,8,8,0,22,22
2188,D,Dd;Ds;E,Marusic,Lazio,8,8,0,9,9,0,23,26
6632,D,Dc,Gaspar K.,Lecce,8,8,0,8,8,0,19,19
5022,D,Dc,Pavlovic,Milan,8,7,1,8,7,1,21,21
4751,D,Dc,Tomori,Milan,8,8,0,8,8,0,25,25
6664,D,B;Dd;E,Delprato,Parma,8,8,0,9,9,0,21,24
6642,D,Dc,Coco,Torino,8,8,0,8,8,0,12,12
5010,D,Dc,Ismajli,Torino,8,8,0,8,8,0,13,13
252,D,Ds;E,Biraghi,Torino,8,8,0,8,8,0,23,23
5427,D,Ds;E,Gutierrez,Napoli,8,8,0,8,8,0,18,18
2640,D,B;Ds;E,Kolasinac,Atalanta,7,7,0,7,7,0,15,18
